Site,Partner Site Country,Primary Disease Area,Tissue of origin (free text),Disease/indication (free text),Type,Model Organism,Biological System,Co-culture?,Model and modification details (free text),Cell line name(s) (free text),Plate density,Assay Design (1),Assay Design (2),if 3D: assay type,Assay readout,Assay readout (2),Assay readout (3),Additional assay information (free text),Data Points,Screening Mode,Measurement Type,"Additional Details (timepoint, points DRC) 
(free text)",Publication Details (doi only),Available to the User,Comments regarding the availability
UH-FIMM,FI,Cancer,Brain,Glioblastoma,Primary screening,Human,Stem cells/iPSC,No,patient-specific glioblastoma stem cell cultures (primary  and recurrent GBM),,384-well,Suspension,,,Luminescence,Fluorescence,,"Cell Titer Glo, CellTox Green",,Dose Response,,,10.1186/s12885-019-5861-4; 10.1186/s40169-019-0253-6; 10.1016/j.tranon.2022.101535,,
UH-FIMM,FI,Cancer,Brain,Meningioma,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Luminescence,Fluorescence,,"Cell Titer Glo, CellTox Green",,Dose Response,,,,,
UH-FIMM,FI,Cancer,Colon/Rectum,Colorectal cancer,Primary screening,Human,Primary cells,,,,1536-well,,,,Luminescence,,,Cell Titer Glo,,Single Point,,,10.1158/1078-0432.CCR-19-3637; 10.3390/biom10101365,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia (biobanked),Disease profiling,Human,Primary cells,,,,,Suspension,,,Flow cytometry,,,"surface+Intracellular staining to
quantify population specific protein levels",,Dose Response,,,,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia (biobanked),Disease profiling,Human,Primary cells,,,,,Suspension,,,Luminescence,Fluorescence,Flow cytometry,"CTG, CTxG & FACS",,Dose Response,,,10.1158/2159-8290.CD-21-0410,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Disease profiling,Human,Primary cells,,,,,Suspension,,,Flow cytometry,Microscopy,,"Cell painting by imaging, flow validations",,,,,,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia (biobanked),Hit follow-up,Human,Primary cells,,,,,Suspension,,,Luminescence,Flow cytometry,,"Cell Titer Glo, Flow cytometry (computational predictions, wetlab validations, combinations)",,Dose Response,,,10.1038/s41389-024-00510-9; 10.1101/2023.06.26.546571,,
i3S,PT,Cancer,Brain,Brain (patient-derived),Primary screening,Human,Primary cells,,,,96-well,3D,,,,,,,,Single Point,,,,,
CBCS-KI,SE,Cancer,,Pancreatic cancer,Primary screening,Mouse,,Yes,co-culture of murine pancreatic stellate cells and murine KPC tumor organoids,Murine stellate cells isolated from WT C57BL/6J mice and organoids from KPC mice,384-well,3D,2D,Organoid,Microscopy,,,"Matrigel, GFP label  (organoids), mKate2 (PSC); morphological readout",>20k,Single Point,End-point,,10.1101/2022.03.11.483991,Yes,Through collaboration with user
CBCS-KI,SE,Cancer,,,Primary screening,Human,Stem cells/iPSC,,iPSC-derived organoids,,384-well,3D,,Organoid,Luminescence,,,Cell Titer Glo (Laminin),5-20k,Single Point,End-point,,,Yes,Through collaboration with user
CBCS-KI,SE,Cancer,Brain,Glioblastoma,Primary screening,Human,,Yes,co-culture of patient-derived GBM cells and human astrocytes,,384-well,2D,,,Luminescence,,,"Cell Titer Glo (GBM–GFP, Astrocytes–mCherry)",5-20k,Single Point,End-point,,,Yes,Through collaboration with user
CBCS-KI,SE,Hematology,,Diamond-Blackan Anemia,Primary screening,Mouse,Primary cells,,primary cells from a doxcyclin mouse model,doxycycline-inducible DBA mouse model,384-well,2D,,,Luminescence,,,Cell Titer Glo,>20k,Single Point,End-point,,10.1177/2472555218823531,Yes,Through collaboration with user
CBCS-KI,SE,Cancer,,Pancreatic cancer,Primary screening,Human,,Yes,co-culture of PDAC spheroids with stellate cells,Panc1,384-well,3D,,Spheroid/Scaffold-free,Microscopy,Fluorescence,,imaging; Lactate assay,5-20k,Single Point,End-point,,,Yes,Through collaboration with user
CBCS-KI,SE,Cancer,,Sarcoma (patient-derived),Primary screening,Human,,,,,384-well,2D,,,Luminescence,,,Cell Titer Glo,,Single Point,End-point,,,Yes,Through collaboration with user
CBCS-KI,SE,Neurological,Brain,Neurotoxicity models,Toxicity/Safety models,Human,Stem cells/iPSC,,,,384-well,3D,,Organoid,Microscopy,Fluorescence,,imaging; FLIPPR,,Single Point,End-point,,,Yes,Through collaboration with user
CBCS-KI,SE,Cancer,Breast,Breast,Primary screening,Human,,Yes,co-culture of breast cancer cells and fibroblasts,,384-well,2D,,,Luminescence,Microscopy,,Luciferase (estrogen dependence) and imaging,,Dose Response,End-point,5 point DRC,10.1038/s41388-024-02973-x ,Yes,Through collaboration with user
CBCS-KI,SE,Cancer,Ovary,Ovarian cancer (22 samples),Disease profiling,Human,Primary cells,,cells from tissue or ascites samples,,384-well,2D,3D,Spheroid/Scaffold-free,Microscopy,,,Live cell imaging,<100,Dose Response,End-point,5 point DRC,10.1038/s41698-023-00463-z ,Yes,Through collaboration with user
CBCS-KI,SE,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia (161 samples),Disease profiling,Human,Primary cells,,cells from bone marrow samples,,384-well,Suspension,,,Luminescence,Flow cytometry,,"Cell Titer Glo, FACS",100-1k,Dose Response,End-point,5 point DRC,,Yes,Through collaboration with user
CBCS-KI,SE,Cancer,Breast,Breast (18 samples),Disease profiling,Human,Primary cells,,cells from tissue samples,,384-well,3D,,,Luminescence,,,Cell Titer Glo,<100,Dose Response,End-point,5 point DRC,10.1073/pnas.2209856120,Yes,Through collaboration with user
CBCS-KI,SE,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia (biobanked),Hit follow-up,Human,Primary cells,,cells from bone marrow samples,,384-well,Suspension,,,Luminescence,,,Cell Titer Glo,<100,Dose Response,End-point,5 point DRC,10.1038/nm.4265 ,Yes,Through collaboration with user
CBCS-KI,SE,Metabolic,Liver, Hepatocytes (3 donors),Toxicity/Safety models,Human,Primary cells,,primary human hepatocytes from donors,,1536-well,3D,,,Luminescence,Microscopy,,Cell Titer Glo or Cell Painting,5-20k,Dose Response,End-point,10 point DRC,,Yes,Through collaboration with user
UTU,FI,,Zebrafish embryo,Toxicity,Hit follow-up,Zebrafish,In vivo,,Modified zebrafish embryo toxicity test,,96-well,3D,,,Microscopy,,,Imaging (Teratology and toxicity),,Combination,End-point,,10.1038/s41598-017-09312-z,Yes,
UTU,FI,Cardiovascular ,Zebrafish embryo,Heart failure and cardiotoxicity,Hit follow-up,Zebrafish,In vivo,,Cardiac physiology mesurements,,96-well,3D,,,Microscopy,,,Imaging (Cardiovascular physiology),,Combination,End-point,,10.1038/s41598-017-09312-z,Yes,
UTU,FI,Cardiovascular ,Zebrafish embryo,Angiogenesis,Hit follow-up,Zebrafish,In vivo,,Angiogenesis,,96-well,3D,,,Microscopy,Fluorescence,,Imaging (Angiogenesis),,Combination,End-point,,10.1016/j.biopha.2022.113882,Yes,
UTU,FI,Neurological,Zebrafish embryo,Neurotoxicity&epilepsy models,Hit follow-up,Zebrafish,In vivo,,Behavioural imaging,,96-well,3D,,,other,,,Imaging (Behavioural assay),,Combination,End-point,,10.1038/s41598-024-61337-3,Yes,
UTU,FI,Cancer,Zebrafish embryo,Cancer (several models),Hit follow-up,Zebrafish,In vivo,,Cancer cell xenograft,User defined,96-well,3D,,,Microscopy,Fluorescence,,imaging,,Single Point,End-point,,10.21769/BioProtoc.3027,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fraunhofer ITMP,DE,Neurological,,,Disease profiling,Human,Stem cells/iPSC,,"BBB model, hiPSC-derived brain capillary endothelial cells",,,2D,,,Microscopy,Fluorescence,other,"Imaging, qPCR, TEER",,,,,10.1016/j.stemcr.2021.12.011,,
Fraunhofer ITMP,DE,Neurological,,,Disease profiling,Human,Stem cells/iPSC,Yes,"BBB model, co-culture hiPSC-derived brain capillary endothelial cells with different brain cell types",,,2D,,,Microscopy,Fluorescence,other,"Imaging, qPCR, TEER",,,,,10.1186/s12987-023-00471-y,,
Fraunhofer ITMP,DE,Neurological,,,Hit follow-up,Human,Stem cells/iPSC,Yes,co-culture of iPSC-derived cortical organoids and cancer cells,,,3D,,,Fluorescence,Luminescence,,Cancer cells (tdTomato) Fluorescence (Imaging) and CTG (luminescence),,,,,,,
Fraunhofer ITMP,DE,,,,Hit follow-up,Human,Stem cells/iPSC,,,,,2D,,,other,,,LC-MS/MS,,,,,,,
HZI,DE,Infectious ,,,Hit follow-up,Human,Primary cells,,,,96-well,3D,,,,other,Microscopy,"Cell viability (?), TEER, imaging",,Combination,,,,,
CIPF,ES,Cancer,Breast,Triple negative breast cancer,Hit follow-up,Human,,,,,,3D,,Organoid,Luminescence,,,Cell Titer Glo,,Combination,,,,,
CIPF,ES,Cancer,Brain,pedriatic glioblastoma,Hit follow-up,Human,Primary cells,,,,,3D,,,Absorbance,,,Cell viability/metabolic activity (MTS),,,,,10.1016/j.jconrel.2023.01.079,,
CIPF,ES,Cancer,Breast/Brain,Breast cancer/glioblastoma,Primary screening,Human,,,,,,3D,,,Absorbance,,,Cell viability/metabolic activity (MTS),,,,,,,
i3S,PT,Cancer,Brain,Cancer,Primary screening,Human,Primary cells,No,organoids from biopsies,,384-well,3D,,Organoid,Luminescence,,,Cell viability,5-20k,Combination,End-point,,,Yes,
IMG,CZ,Cancer,Various,Solid Tumours,Disease profiling,Human,Primary cells,No,Spheroids derived from primary pediatric patient material,,384-well,3D,,Spheroid/Scaffold-free,Luminescence,Microscopy,,Cell Titer Glo & imaging,,Combination,End-point,,,,
IMG,CZ,Cancer,Blood/ Bone Marrow,"AML, ALL and ALAL",Disease profiling,Human,Primary cells,Yes,Coculture of primary patient material with primary mesenchymal cells,,1536-well,Suspension,,,Microscopy,,,CyQUANT Direct Cell Proliferation Assay Imaging,,Combination,End-point,,10.1002/cam4.71070,,
IMG,CZ,Cancer,Blood/ Bone Marrow,CML,Primary screening,Human,Immortalized cell lines,,Xenotransplantation model in zebrafish,K562,96-well,3D,,,Microscopy,Luminescence,,Xenotransplanted cells labelled with NanoLuc transgene,100-1k,Combination,End-point,,10.3389/fphar.2022.893655,Yes,
